timestamp,client,domain,result_ip,total_time_ms
2025-10-28 10:23:20,10.0.0.2,likeminded.ca,198.100.154.154,606.86
2025-10-28 10:23:21,10.0.0.2,alltransport.ru,141.8.192.214,673.68
2025-10-28 10:23:21,10.0.0.2,brown.edu,128.148.252.151,3755.46
2025-10-28 10:23:25,10.0.0.2,fauzanalfi.com,FAIL,21831.38
2025-10-28 10:23:47,10.0.0.2,supreetsethi.net,FAIL,21282.05
2025-10-28 10:24:08,10.0.0.2,gucenmez.com,172.67.149.173,717.19
2025-10-28 10:24:09,10.0.0.2,seedy.dk,93.191.156.22,1308.48
2025-10-28 10:24:10,10.0.0.2,51cdngo.com,FAIL,28745.19
2025-10-28 10:24:39,10.0.0.2,simple-health-reports.com,FAIL,21634.50
2025-10-28 10:25:01,10.0.0.2,hivelocitymedia.com,104.21.1.224,418.82
2025-10-28 10:25:01,10.0.0.2,jabeye.org,173.236.216.220,982.44
2025-10-28 10:25:02,10.0.0.2,ticketbis.com,FAIL,22215.63
2025-10-28 10:25:24,10.0.0.2,cellularfactory.com,208.91.197.27,682.27
2025-10-28 10:25:25,10.0.0.2,tsksv.ru,91.199.149.117,630.32
2025-10-28 10:25:26,10.0.0.2,gaybodyblog.com,148.72.167.158,408.28
2025-10-28 10:25:26,10.0.0.2,datadikdki.net,172.67.171.27,788.81
2025-10-28 10:25:27,10.0.0.2,mumphi.de,87.106.48.102,1041.68
2025-10-28 10:25:28,10.0.0.2,brfone.com,54.243.117.197,612.27
2025-10-28 10:25:28,10.0.0.2,newpages2u.com,110.74.174.131,823.46
2025-10-28 10:25:29,10.0.0.2,bigjournalism.com,104.21.75.65,423.57
2025-10-28 10:25:30,10.0.0.2,congsoxanh.com,104.21.64.129,376.60
2025-10-28 10:25:30,10.0.0.2,visualtap.com,52.20.84.62,638.19
2025-10-28 10:25:31,10.0.0.2,oberoncompany.com,104.21.68.213,473.43
2025-10-28 10:25:31,10.0.0.2,consejodentistas.org,213.151.115.236,845.56
2025-10-28 10:25:32,10.0.0.2,k-dsl.de,FAIL,14431.37
2025-10-28 10:25:46,10.0.0.2,asip.es,FAIL,10984.71
2025-10-28 10:25:57,10.0.0.2,androgyn.org,217.160.0.127,419.65
2025-10-28 10:25:58,10.0.0.2,panaceadream.com,FAIL,21323.23
2025-10-28 10:26:19,10.0.0.2,hotel.ch,172.67.191.193,795.27
2025-10-28 10:26:20,10.0.0.2,c3budiman.tk,FAIL,11277.36
2025-10-28 10:26:31,10.0.0.2,obtscan.com,FAIL,21312.71
2025-10-28 10:26:53,10.0.0.2,phoenix-music.ru,FAIL,11765.73
2025-10-28 10:27:04,10.0.0.2,motiie.com,FAIL,21238.73
2025-10-28 10:27:26,10.0.0.2,cncdesign.co.kr,175.126.62.41,22572.28
2025-10-28 10:27:48,10.0.0.2,udoo24.com,185.232.14.229,377.78
2025-10-28 10:27:49,10.0.0.2,ljyelectronic.com,156.232.155.66,464.38
2025-10-28 10:27:49,10.0.0.2,bek.ir,FAIL,11804.74
2025-10-28 10:28:01,10.0.0.2,valerievandenbroek.nl,FAIL,10947.55
2025-10-28 10:28:12,10.0.0.2,lacuentaperdida.org,FAIL,11110.32
2025-10-28 10:28:23,10.0.0.2,alkoholiker-clan.de,78.46.86.91,1226.22
2025-10-28 10:28:24,10.0.0.2,doommovie.com,104.21.50.133,413.94
2025-10-28 10:28:25,10.0.0.2,xqgcab.com,FAIL,21561.45
2025-10-28 10:28:46,10.0.0.2,uanet.net,38.55.165.9,1173.28
2025-10-28 10:28:47,10.0.0.2,tomorrowsreflection.com,34.67.56.17,567.58
2025-10-28 10:28:48,10.0.0.2,lighthouse.cc,192.110.166.196,663.74
2025-10-28 10:28:48,10.0.0.2,7sports.jp,150.95.219.152,1060.53
2025-10-28 10:28:50,10.0.0.2,gamepsvita.com,172.67.145.175,548.75
2025-10-28 10:28:50,10.0.0.2,thunderex.com,97.74.85.52,600.21
2025-10-28 10:28:51,10.0.0.2,zamlelova.ru,79.174.69.231,2691.28
2025-10-28 10:28:53,10.0.0.2,atomicbase.com,192.252.149.20,670.23
2025-10-28 10:28:54,10.0.0.2,qdushu.com,FAIL,24433.72
2025-10-28 10:29:19,10.0.0.2,raqualia.com,FAIL,27750.93
2025-10-28 10:29:46,10.0.0.2,fanzi.pl,FAIL,14126.62
2025-10-28 10:30:00,10.0.0.2,womenology.com,213.186.33.4,391.23
2025-10-28 10:30:01,10.0.0.2,tonaci.com,69.46.47.132,517.76
2025-10-28 10:30:01,10.0.0.2,youngsnetwork.it,FAIL,11570.73
2025-10-28 10:30:13,10.0.0.2,gvowebcast.com,172.67.176.152,386.46
2025-10-28 10:30:13,10.0.0.2,aspiringwriter.ca,FAIL,10918.19
2025-10-28 10:30:24,10.0.0.2,heygal.net,FAIL,24245.75
2025-10-28 10:30:48,10.0.0.2,mpskota.com,20.192.98.161,382.32
2025-10-28 10:30:49,10.0.0.2,ohdev.co.uk,51.89.253.246,824.19
2025-10-28 10:30:50,10.0.0.2,topilehtipuu.com,103.224.182.253,10137.94
2025-10-28 10:31:00,10.0.0.2,thereeftank.com,151.101.129.91,538.82
2025-10-28 10:31:00,10.0.0.2,volksschule-neufahrn.de,FAIL,11696.54
2025-10-28 10:31:12,10.0.0.2,qingjiaopidaiji.com,FAIL,21289.31
2025-10-28 10:31:33,10.0.0.2,jcwcn.com,128.14.74.54,1325.22
2025-10-28 10:31:35,10.0.0.2,huhgmbh.com,54.243.117.197,633.17
2025-10-28 10:31:35,10.0.0.2,redcrosseth.org,65.21.72.120,874.63
2025-10-28 10:31:36,10.0.0.2,lookpage.org,FAIL,11023.81
2025-10-28 10:31:47,10.0.0.2,mplus.hk,159.138.153.43,660.02
2025-10-28 10:31:48,10.0.0.2,sandieskorner.com,FAIL,21695.93
2025-10-28 10:32:09,10.0.0.2,sinemagrafik.com,FAIL,21329.48
2025-10-28 10:32:31,10.0.0.2,itattoos.org,FAIL,11072.05
2025-10-28 10:32:42,10.0.0.2,lgmonitorreview.nl,FAIL,11044.03
2025-10-28 10:32:53,10.0.0.2,sscw.ee,217.146.69.45,588.47
2025-10-28 10:32:54,10.0.0.2,nucre.com,FAIL,30937.50
2025-10-28 10:33:24,10.0.0.2,cornesoft.com,FAIL,21306.73
2025-10-28 10:33:46,10.0.0.2,mattselznick.com,44.245.84.147,640.12
2025-10-28 10:33:46,10.0.0.2,horn-elektronik.com,92.43.119.40,915.03
2025-10-28 10:33:47,10.0.0.2,rousing.dk,212.237.249.17,604.01
2025-10-28 10:33:48,10.0.0.2,i12.de,FAIL,14225.99
2025-10-28 10:34:02,10.0.0.2,casco.com,216.150.1.1,428.21
2025-10-28 10:34:03,10.0.0.2,ambassadorsspfhf.org,FAIL,11331.23
2025-10-28 10:34:14,10.0.0.2,capella.edu,104.18.41.240,3925.19
2025-10-28 10:34:18,10.0.0.2,nipslab.org,89.46.108.36,1493.21
2025-10-28 10:34:19,10.0.0.2,webxtrap.com,109.234.165.168,505.92
2025-10-28 10:34:20,10.0.0.2,stopallthathating.com,FAIL,21402.52
2025-10-28 10:34:41,10.0.0.2,ovtoc.com,64.190.63.222,508.94
2025-10-28 10:34:42,10.0.0.2,vaco.ru,81.88.217.58,1125.99
2025-10-28 10:34:43,10.0.0.2,ku.edu,129.237.135.76,3724.73
2025-10-28 10:34:47,10.0.0.2,amedeos.net,76.223.105.230,1052.45
2025-10-28 10:34:48,10.0.0.2,thankfullyyours.com,23.227.38.32,530.93
